房间号,二级分类,品名,单位,单价（元）,数量,合计(元)
506,其他,壁装支架,个,100,1,100
501,物联网,窗户监测模块,个,260,1,260
502,物联网,窗户监测模块,个,260,1,260
503,物联网,窗户监测模块,个,260,1,260
504,物联网,窗户监测模块,个,260,1,260
505,物联网,窗户监测模块,个,260,1,260
506,物联网,窗户监测模块,个,260,1,260
507,物联网,窗户监测模块,个,260,1,260
509,物联网,窗户监测模块,个,260,1,260
511,物联网,窗户监测模块,个,260,1,260
513,物联网,窗户监测模块,个,260,1,260
506,其他,高保真全向型拾音器,个,680,1,680
506,其他,存储硬盘,块,790,1,790
501,音响及声学设备,数字红外无线麦克风,台,800,1,800
502,音响及声学设备,数字红外无线麦克风,台,800,1,800
503,音响及声学设备,数字红外无线麦克风,台,800,1,800
504,音响及声学设备,数字红外无线麦克风,台,800,1,800
505,音响及声学设备,数字红外无线麦克风,台,800,1,800
506,音响及声学设备,数字红外无线麦克风,台,800,1,800
507,音响及声学设备,数字红外无线麦克风,台,800,1,800
509,音响及声学设备,数字红外无线麦克风,台,800,1,800
511,音响及声学设备,数字红外无线麦克风,台,800,1,800
513,音响及声学设备,数字红外无线麦克风,台,800,1,800
501,物联网,智能窗帘控制器,个,1100,1,1100
502,物联网,智能窗帘控制器,个,1100,1,1100
503,物联网,智能窗帘控制器,个,1100,1,1100
504,物联网,智能窗帘控制器,个,1100,1,1100
505,物联网,智能窗帘控制器,个,1100,1,1100
506,物联网,智能窗帘控制器,个,1100,1,1100
507,物联网,智能窗帘控制器,个,1100,1,1100
509,物联网,智能窗帘控制器,个,1100,1,1100
511,物联网,智能窗帘控制器,个,1100,1,1100
513,物联网,智能窗帘控制器,个,1100,1,1100
501,物联网,多媒体交互一体机,台,1430,1,1430
502,物联网,多媒体交互一体机,台,1430,1,1430
503,物联网,多媒体交互一体机,台,1430,1,1430
504,物联网,多媒体交互一体机,台,1430,1,1430
505,物联网,多媒体交互一体机,台,1430,1,1430
506,物联网,多媒体交互一体机,台,1430,1,1430
507,物联网,多媒体交互一体机,台,1430,1,1430
509,物联网,多媒体交互一体机,台,1430,1,1430
511,物联网,多媒体交互一体机,台,1430,1,1430
513,物联网,多媒体交互一体机,台,1430,1,1430
506,其他,学生全景摄像机,台,1625,1,1625
501,音响及声学设备,数字红外接收器,台,835,2,1670
502,音响及声学设备,数字红外接收器,台,835,2,1670
503,音响及声学设备,数字红外接收器,台,835,2,1670
504,音响及声学设备,数字红外接收器,台,835,2,1670
505,音响及声学设备,数字红外接收器,台,835,2,1670
506,音响及声学设备,数字红外接收器,台,835,2,1670
507,音响及声学设备,数字红外接收器,台,835,2,1670
509,音响及声学设备,数字红外接收器,台,835,2,1670
511,音响及声学设备,数字红外接收器,台,835,2,1670
513,音响及声学设备,数字红外接收器,台,835,2,1670
501,白板,钢化玻璃白板,块,2025,1,2025
502,白板,钢化玻璃白板,块,2025,1,2025
503,白板,钢化玻璃白板,块,2025,1,2025
504,白板,钢化玻璃白板,块,2025,1,2025
505,白板,钢化玻璃白板,块,2025,1,2025
506,白板,钢化玻璃白板,块,2025,1,2025
507,白板,钢化玻璃白板,块,2025,1,2025
509,白板,钢化玻璃白板,块,2025,1,2025
511,白板,钢化玻璃白板,块,2025,1,2025
513,白板,钢化玻璃白板,块,2025,1,2025
501,物联网,电动窗帘组,套,2400,1,2400
502,物联网,电动窗帘组,套,2400,1,2400
503,物联网,电动窗帘组,套,2400,1,2400
504,物联网,电动窗帘组,套,2400,1,2400
505,物联网,电动窗帘组,套,2400,1,2400
506,物联网,电动窗帘组,套,2400,1,2400
507,物联网,电动窗帘组,套,2400,1,2400
509,物联网,电动窗帘组,套,2400,1,2400
511,物联网,电动窗帘组,套,2400,1,2400
513,物联网,电动窗帘组,套,2400,1,2400
506,其他,录播盒子,台,2530,1,2530
501,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
502,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
503,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
504,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
505,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
506,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
507,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
509,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
511,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
513,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
501,物联网,多媒体控制终端,台,2990,1,2990
502,物联网,多媒体控制终端,台,2990,1,2990
503,物联网,多媒体控制终端,台,2990,1,2990
504,物联网,多媒体控制终端,台,2990,1,2990
505,物联网,多媒体控制终端,台,2990,1,2990
506,物联网,多媒体控制终端,台,2990,1,2990
507,物联网,多媒体控制终端,台,2990,1,2990
509,物联网,多媒体控制终端,台,2990,1,2990
511,物联网,多媒体控制终端,台,2990,1,2990
513,物联网,多媒体控制终端,台,2990,1,2990
501,物联网,智能空调控制模块 ,套,1560,2,3120
