video_id,title,desc,label
60182,%家常菜教程 可乐鸡翅～#,%探店这家宝藏小吃店，人均20吃到撑～&,1
86385,日常淡妆教程 新手友好～,	干皮护肤攻略，告别起皮！  *,3
33932,@化妆新手避坑指南！$,%这款粉底液不卡粉，混油皮冲！@,3
38608,%街边小吃探店  *,探店这家宝藏小吃店，人均20吃到撑～,1
31932,眼影盘配色技巧  ,超简单的淡妆，5分钟搞定💅,3
35440,%和平精英吃鸡技巧    ,这个英雄太强势了，赶紧练！,2
32200,	英雄联盟操作教学！*,  游戏日常，快乐就完了🎯  %,2
97934,周末出游记～,&记录平凡的生活瞬间，简单又美好 ～#,0
99345,%和平精英吃鸡技巧  *,%新副本通关攻略，保姆级教学～&,2
22030,和平精英吃鸡技巧  ,游戏日常，快乐就完了🎯  ,2
29831,$街边小吃探店    ,#步骤超简单，新手也能做🍳%,1
47142,日常淡妆教程 新手友好～,	干皮护肤攻略，告别起皮！  $,3
11666,#火锅底料自制方法！  #,$探店这家宝藏小吃店，人均20吃到撑～%,1
67852,街边小吃探店  ,在家做美食，健康又卫生 🍲,1
71310,@英雄联盟操作教学！	,	这个英雄太强势了，赶紧练！%,2
93253,@网红甜品在家做🧁&,%味道绝了，比外面买的还好吃！	,1
25151,手游推荐 超好玩🎮,	亲测有效，上分必备技巧！@,2
13692,家常菜教程 可乐鸡翅～,%探店这家宝藏小吃店，人均20吃到撑～#,1
77750,&懒人早餐做法！%,在家做美食，健康又卫生 🍲,1
32105,英雄联盟操作教学！,#新副本通关攻略，保姆级教学～&,2
74396,日常vlog 我的一天 ,周末和朋友的小聚，超开心！  ,0
68223,$独居生活的快乐  ,&打工人的下班生活，治愈一切不开心✨#,0
99371,火锅底料自制方法！  ,$在家做美食，健康又卫生 🍲*,1
49924,%打工人的日常  $,@周末和朋友的小聚，超开心！  #,0
75504,	英雄联盟操作教学！#,  这个英雄太强势了，赶紧练！  ,2
21156,&粉底液测评 持妆12小时！#,干皮护肤攻略，告别起皮！  ,3
43280,	超好吃的红烧肉做法！@,探店这家宝藏小吃店，人均20吃到撑～,1
90133,网红甜品在家做🧁,在家做美食，健康又卫生 🍲,1
30670,校园生活碎片🧩,*打工人的下班生活，治愈一切不开心✨&,0
99286,$游戏直播精彩瞬间  %,%新副本通关攻略，保姆级教学～  ,2
52843,#护肤步骤分享 干皮适用！  ,@显白口红合集，黄皮友好～&,3
50023,&粉底液测评 持妆12小时！$,*这款粉底液不卡粉，混油皮冲！$,3
19764,*打工人的日常  #,分享我的日常点滴，喜欢的点个赞！,0
81052,家常菜教程 可乐鸡翅～,	探店这家宝藏小吃店，人均20吃到撑～%,1
95063,气垫推荐 平价又好用～,&干皮护肤攻略，告别起皮！  %,3
58103,日常淡妆教程 新手友好～,显白口红合集，黄皮友好～,3
96606,$火锅底料自制方法！  %,探店这家宝藏小吃店，人均20吃到撑～,1
14359,&原神新副本攻略～*,*亲测有效，上分必备技巧！@,2
38013,	护肤步骤分享 干皮适用！*,$这款粉底液不卡粉，混油皮冲！&,3
51440,周末宅家日常～,$周末和朋友的小聚，超开心！  %,0
54424,校园生活碎片🧩,分享我的日常点滴，喜欢的点个赞！,0
19123,超好吃的红烧肉做法！,#步骤超简单，新手也能做🍳	,1
50734,  打工人的日常  $,*打工人的下班生活，治愈一切不开心✨#,0
22701,日常vlog 我的一天 ,打工人的下班生活，治愈一切不开心✨,0
42241,$懒人早餐做法！#,探店这家宝藏小吃店，人均20吃到撑～,1
97179,和平精英吃鸡技巧  ,	游戏日常，快乐就完了🎯    ,2
88180,@校园生活碎片🧩&,$记录平凡的生活瞬间，简单又美好 ～%,0
30045,$打工人的日常  @,@分享我的日常点滴，喜欢的点个赞！	,0
74165,@独居生活的快乐%,分享我的日常点滴，喜欢的点个赞！,0
47242,日常vlog 我的一天 ,*周末和朋友的小聚，超开心！  #,0
44919,@和平精英吃鸡技巧  #,@新副本通关攻略，保姆级教学～&,2
83696,*手游推荐 超好玩🎮$,  亲测有效，上分必备技巧！%,2
45896,  自制奶茶 零失败～&,%步骤超简单，新手也能做🍳  ,1
35962,  口红试色 显白款💄	,干皮护肤攻略，告别起皮！  ,3
22267,$英雄联盟操作教学！&,新副本通关攻略，保姆级教学～,2
85546,	校园生活碎片🧩*,  分享我的日常点滴，喜欢的点个赞！#,0
74805,  王者荣耀新英雄出装！	,  新副本通关攻略，保姆级教学～&,2
30221,原神新副本攻略～,新副本通关攻略，保姆级教学～,2
95567,护肤步骤分享 干皮适用！,超简单的淡妆，5分钟搞定💅,3
28756,%原神新副本攻略～$,#亲测有效，上分必备技巧！*,2
52501,$游戏直播精彩瞬间  @,$这个英雄太强势了，赶紧练！&,2
72855,游戏直播精彩瞬间  ,&游戏日常，快乐就完了🎯  #,2
35942,%气垫推荐 平价又好用～&,&显白口红合集，黄皮友好～#,3
97868,气垫推荐 平价又好用～,  显白口红合集，黄皮友好～$,3
89210,周末出游记～,&记录平凡的生活瞬间，简单又美好 ～%,0
27216,@自制奶茶 零失败～%,$探店这家宝藏小吃店，人均20吃到撑～@,1
72368,*火锅底料自制方法！    ,	步骤超简单，新手也能做🍳&,1
76249,校园生活碎片🧩,&周末和朋友的小聚，超开心！  %,0
43996,&英雄联盟操作教学！*,@这个英雄太强势了，赶紧练！&,2
76694,气垫推荐 平价又好用～,显白口红合集，黄皮友好～,3
39586,化妆新手避坑指南！,&这款粉底液不卡粉，混油皮冲！	,3
79743,  自制奶茶 零失败～@,	步骤超简单，新手也能做🍳*,1
41798,#超好吃的红烧肉做法！*,  在家做美食，健康又卫生 🍲$,1
21079,气垫推荐 平价又好用～,#超简单的淡妆，5分钟搞定💅	,3
92702,&吃鸡决赛圈打法！#,&新副本通关攻略，保姆级教学～$,2
27907,*独居生活的快乐@,	分享我的日常点滴，喜欢的点个赞！&,0
44204,超好吃的红烧肉做法！,&探店这家宝藏小吃店，人均20吃到撑～&,1
51076,#手游推荐 超好玩🎮	,	这个英雄太强势了，赶紧练！$,2
94400,	护肤步骤分享 干皮适用！%,*超简单的淡妆，5分钟搞定💅&,3
81057,*护肤步骤分享 干皮适用！	,这款粉底液不卡粉，混油皮冲！,3
95025,%原神新副本攻略～	,#游戏日常，快乐就完了🎯  $,2
40198,@气垫推荐 平价又好用～  ,&显白口红合集，黄皮友好～*,3
61284,@眼影盘配色技巧  &,#显白口红合集，黄皮友好～@,3
37072,@吃鸡决赛圈打法！@,游戏日常，快乐就完了🎯  ,2
50107,	吃鸡决赛圈打法！#,&新副本通关攻略，保姆级教学～%,2
62891,	超好吃的红烧肉做法！	,步骤超简单，新手也能做🍳,1
18720,	粉底液测评 持妆12小时！&,@干皮护肤攻略，告别起皮！  $,3
71457,%吃鸡决赛圈打法！	,#这个英雄太强势了，赶紧练！%,2
57518,&超好吃的红烧肉做法！%,	味道绝了，比外面买的还好吃！$,1
52696,气垫推荐 平价又好用～,$显白口红合集，黄皮友好～  ,3
42836,护肤步骤分享 干皮适用！,干皮护肤攻略，告别起皮！  ,3
34314,	和平精英吃鸡技巧  &,	这个英雄太强势了，赶紧练！@,2
85282,&手游推荐 超好玩🎮  ,&亲测有效，上分必备技巧！#,2
66960,#护肤步骤分享 干皮适用！#,#显白口红合集，黄皮友好～#,3
54747,懒人早餐做法！,*探店这家宝藏小吃店，人均20吃到撑～%,1
42628,$和平精英吃鸡技巧    ,&游戏日常，快乐就完了🎯  $,2
58669,&家常菜教程 可乐鸡翅～@,&探店这家宝藏小吃店，人均20吃到撑～	,1
14424,@打工人的日常  #,*分享我的日常点滴，喜欢的点个赞！@,0
17570,*吃鸡决赛圈打法！*,	这个英雄太强势了，赶紧练！%,2
69096,%校园生活碎片🧩	,  分享我的日常点滴，喜欢的点个赞！	,0
50969,&家常菜教程 可乐鸡翅～*,  探店这家宝藏小吃店，人均20吃到撑～%,1
67509,#打工人的日常  @,	分享我的日常点滴，喜欢的点个赞！*,0
68815,$日常vlog 我的一天 	,  分享我的日常点滴，喜欢的点个赞！@,0
21748,*街边小吃探店  	,*在家做美食，健康又卫生 🍲#,1
14911,@手游推荐 超好玩🎮%,这个英雄太强势了，赶紧练！,2
20681,气垫推荐 平价又好用～,显白口红合集，黄皮友好～,3
52989,周末出游记～,@分享我的日常点滴，喜欢的点个赞！%,0
63630,$化妆新手避坑指南！	,#超简单的淡妆，5分钟搞定💅&,3
59317,  吃鸡决赛圈打法！*,&新副本通关攻略，保姆级教学～@,2
80624,$游戏直播精彩瞬间  #,%这个英雄太强势了，赶紧练！  ,2
75183,@日常淡妆教程 新手友好～#,这款粉底液不卡粉，混油皮冲！,3
85546,*城市漫步vlog！#,  打工人的下班生活，治愈一切不开心✨%,0
78727,%化妆新手避坑指南！	,%显白口红合集，黄皮友好～#,3
63682,  游戏直播精彩瞬间  #,这个英雄太强势了，赶紧练！,2
61926,$周末出游记～	,  记录平凡的生活瞬间，简单又美好 ～  ,0
38940,城市漫步vlog！,&打工人的下班生活，治愈一切不开心✨  ,0
46925,&家常菜教程 可乐鸡翅～%,$探店这家宝藏小吃店，人均20吃到撑～$,1
49713,	游戏直播精彩瞬间    ,$新副本通关攻略，保姆级教学～%,2
58751,手游推荐 超好玩🎮,#亲测有效，上分必备技巧！@,2
48514,*粉底液测评 持妆12小时！	,&这款粉底液不卡粉，混油皮冲！&,3
29108,&吃鸡决赛圈打法！#,$游戏日常，快乐就完了🎯  $,2
54057,英雄联盟操作教学！,亲测有效，上分必备技巧！,2
18305,自制奶茶 零失败～,$味道绝了，比外面买的还好吃！$,1
85857,	化妆新手避坑指南！#,$这款粉底液不卡粉，混油皮冲！&,3
94031,口红试色 显白款💄,@这款粉底液不卡粉，混油皮冲！$,3
12253,王者荣耀新英雄出装！,*游戏日常，快乐就完了🎯  #,2
44384,$周末宅家日常～*,  周末和朋友的小聚，超开心！  %,0
81200,  手游推荐 超好玩🎮&,游戏日常，快乐就完了🎯  ,2
12015,城市漫步vlog！,  打工人的下班生活，治愈一切不开心✨  ,0
94636,@游戏直播精彩瞬间    ,这个英雄太强势了，赶紧练！,2
64953,  周末出游记～#,@周末和朋友的小聚，超开心！  %,0
62457,手游推荐 超好玩🎮,#游戏日常，快乐就完了🎯  %,2
92926,日常淡妆教程 新手友好～,	这款粉底液不卡粉，混油皮冲！$,3
61506,*粉底液测评 持妆12小时！%,  超简单的淡妆，5分钟搞定💅  ,3
48161,原神新副本攻略～,新副本通关攻略，保姆级教学～,2
45063,自制奶茶 零失败～,在家做美食，健康又卫生 🍲,1
69070,家常菜教程 可乐鸡翅～,#在家做美食，健康又卫生 🍲  ,1
60073,$日常vlog 我的一天 #,*记录平凡的生活瞬间，简单又美好 ～%,0
98830,  周末宅家日常～&,打工人的下班生活，治愈一切不开心✨,0
58677,周末宅家日常～,@记录平凡的生活瞬间，简单又美好 ～#,0
51756,城市漫步vlog！,打工人的下班生活，治愈一切不开心✨,0
11117,	原神新副本攻略～#,游戏日常，快乐就完了🎯  ,2
62053,&日常vlog 我的一天 	,%记录平凡的生活瞬间，简单又美好 ～$,0
12542,%日常淡妆教程 新手友好～&,@显白口红合集，黄皮友好～@,3
73095,@城市漫步vlog！	,  打工人的下班生活，治愈一切不开心✨&,0
70632,和平精英吃鸡技巧  ,*这个英雄太强势了，赶紧练！#,2
18927,*护肤步骤分享 干皮适用！%,$这款粉底液不卡粉，混油皮冲！@,3
32081,&自制奶茶 零失败～#,@步骤超简单，新手也能做🍳  ,1
40367,	独居生活的快乐	,&周末和朋友的小聚，超开心！  $,0
26517,独居生活的快乐,&周末和朋友的小聚，超开心！  @,0
79409,%家常菜教程 可乐鸡翅～$,#探店这家宝藏小吃店，人均20吃到撑～$,1
95586,护肤步骤分享 干皮适用！,#这款粉底液不卡粉，混油皮冲！*,3
87239,*周末宅家日常～	,	分享我的日常点滴，喜欢的点个赞！	,0
37924,@原神新副本攻略～$,&游戏日常，快乐就完了🎯  &,2
68420,日常淡妆教程 新手友好～,*这款粉底液不卡粉，混油皮冲！$,3
27530,周末出游记～,$记录平凡的生活瞬间，简单又美好 ～	,0
33021,火锅底料自制方法！  ,	在家做美食，健康又卫生 🍲*,1
16377,%手游推荐 超好玩🎮$,游戏日常，快乐就完了🎯  ,2
24791,@王者荣耀新英雄出装！  ,  这个英雄太强势了，赶紧练！$,2
20762,#英雄联盟操作教学！  ,这个英雄太强势了，赶紧练！,2
16843,$手游推荐 超好玩🎮@,@亲测有效，上分必备技巧！@,2
40720,&周末宅家日常～%,	周末和朋友的小聚，超开心！  &,0
13109,	火锅底料自制方法！  	,%在家做美食，健康又卫生 🍲&,1
82976,#化妆新手避坑指南！  ,@这款粉底液不卡粉，混油皮冲！  ,3
74064,眼影盘配色技巧  ,	干皮护肤攻略，告别起皮！  %,3
16499,	懒人早餐做法！%,$探店这家宝藏小吃店，人均20吃到撑～#,1
34015,手游推荐 超好玩🎮,#亲测有效，上分必备技巧！$,2
53612,@居家生活小技巧！  ,*打工人的下班生活，治愈一切不开心✨#,0
50483,#周末宅家日常～#,&记录平凡的生活瞬间，简单又美好 ～#,0
23609,$口红试色 显白款💄%,*干皮护肤攻略，告别起皮！  &,3
